"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Алтайвита. UI","Find","Поиск товара","0","0","1","0","0"
"Алтайвита. API","Find","Поиск товара","0","0","1","0","0"
"Алтайвита. API","Update","Изменение количества товара в корзине","0","0","1","0","0"
"Алтайвита. UI","Update","Изменение единиц одного товара","0","0","1","0","0"
"Алтайвита. UI","Delete","Удаление товара","0","0","1","0","0"
"Алтайвита. API","Add","Добавление товара в корзину","0","0","1","0","0"
"Алтайвита. UI","Add","Добавление товара в корзину","0","0","1","0","0"
