"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 12:32:05 MSK 2024","Tue Jul 23 12:32:27 MSK 2024","22047","","UI тесты на поиск товара","","","","Поиск товара по фразе",""
"passed","Tue Jul 23 12:32:02 MSK 2024","Tue Jul 23 12:32:03 MSK 2024","359","","API тесты на поиск товара","","","","Поиск товара по фразе",""
"passed","Tue Jul 23 12:32:04 MSK 2024","Tue Jul 23 12:32:05 MSK 2024","1464","","API тесты на работу с корзиной","","","","Изменение единиц одного товара в корзине",""
"passed","Tue Jul 23 12:33:01 MSK 2024","Tue Jul 23 12:33:30 MSK 2024","28632","","UI тесты на работу с корзиной","","","","Увеличение количества единиц одного товара в корзине",""
"passed","Tue Jul 23 12:33:30 MSK 2024","Tue Jul 23 12:33:55 MSK 2024","24794","","UI тесты на работу с корзиной","","","","Удаление товара из корзины",""
"passed","Tue Jul 23 12:32:03 MSK 2024","Tue Jul 23 12:32:04 MSK 2024","1003","","API тесты на работу с корзиной","","","","Добавление первого товара из поисковой выдачи в корзину",""
"passed","Tue Jul 23 12:32:27 MSK 2024","Tue Jul 23 12:33:01 MSK 2024","34168","","UI тесты на работу с корзиной","","","","Добавление 1 товара из поисковой выдачи в корзину",""
